employment,wages,score
69.35,35555.9,22.78725943
70.3,37794.8,24.17302663
63.7,31260.4,19.90108707
63.98,32353.5,20.80929394
64.01,34023.4,21.51435325
64.04,35896.6,21.51339228
63.98,37453.9,20.95338982
64.05,36778.8,21.03484098
63.825,38183.5,21.3646092
63.75,39907,21.79743531
63.725,41540.4,22.45070884
64.35,42756.6,23.18266576
62.3,31620.5,22.61575737
63.4,32419.3,22.89813452
63.7,33033.5,22.98798004
62.9,33787.5,21.67566576
63.4,34420.4,20.03892653
63.2,35608.4,19.50844114
63.9,36344.7,19.15652993
65.45,36760.2,19.06943491
67.15,37819.8,19.82120547
68.975,38432.6,20.1163841
55.975,20700.3,23.71572739
55.9,21639.4,24.50163279
56.45,22954.5,24.64121648
56.325,24475.9,24.73679363
57.375,28056.9,23.60249719
58.5,28280.2,25.32475674
59.075,28987.4,24.39502072
59.625,30211.6,20.82895115
60.55,31020.7,23.6858749
60.875,32193.9,26.01185073
51.925,30771.3,19.20774073
52.675,31158.7,19.6037909
53.7,31914.7,20.43159731
54.8,32349.5,20.49327957
55.55,32170.6,21.20377692
56.1,33180.4,20.71991881
57.725,33986,20.83618972
57.575,34916.7,21.15781062
58.325,36280.5,21.48836396
58.575,37615.2,21.56975723
69.57001,26266.5,28.1970664
69.02783,26552.8,27.83150179
68.99153,28145.5,27.38476494
68.85491,28840.1,26.54546324
68.31975,29736,25.03016554
68.46236,30512.5,24.46440216
68.81226,31010.3,24.05111741
69.36957,32501.8,24.60097899
70.03201,33363.4,24.71763478
70.77606,33997.6,24.11781943
73.6,28324.4,20.6014794
73.8,29063.8,21.3754785
74.2,32006.1,22.0963821
74.05,32744.2,22.4659723
73.625,33585.1,21.6532237
72.875,34826.8,21.2710172
72.05,36987.2,21.5864947
72.3,38147.9,22.1375327
73.125,39722.5,22.9999151
74.175,42808.5,23.888788
71.18,29561.9,17.85586855
71.2,30783.4,17.84653461
71.225,33617.6,17.83981909
71.425,35969.7,17.25453921
71.4,36562.6,17.31961332
71.525,38392.4,16.83309078
71.7,40662.3,16.72189184
71.775,41228.4,16.95631664
71.6,43714.5,17.1641378
71.45,44264.3,17.66147218
73.50204,40729.4,22.14736046
73.84345,42649.1,22.68843089
73.94605,44931.1,23.03858449
74.09456,46359.5,22.41191814
73.13562,47471.4,21.40797816
71.92931,49221.4,21.49241617
71.22334,51087.4,22.00648346
71.22248,52959.3,22.76793023
71.53017,54990.5,22.84966434
71.99708,57029.5,22.11339145